gradovi,x,y
Subotica, -137.0, 323.0
Sombor, -199.0, 271.0
Novi Sad, -121.0, 189.0
Zrenjanin, -60.0, 208.0
Kikinda, -54.0, 280.0
Vršac, 36.0, 169.0
Sremska Mitrovica, -146.0, 146.0
Beograd, -55.0, 120.0
Loznica, -187.0, 81.0
Valjevo, -117.0, 39.0
Bor, 125.0, 22.0
Niš, 104.0, -103.0
Pirot, 184.0, -125.0
Prizren, -24.0, -272.0
Peć, -72.0, -205.0
Priština, 23.0, -203.0
Kosovska Mitrovica, -8.0, -169.0
Novi Pazar, -48.0, -131.0
Kruševac, 41.0, -65.0
Čačak, -69.0, -19.0
Kragujevac, -7.0, 2.0
Kraljevo, -32.0, -43.0
